,best_match_score,Facility Name,Provider Name,Address,Provider Street Address,Provider City,City,Provider State,State
343274,1.075768854799261,NORTHERN LIGHT MAINE COAST HOSPITAL,MAINE COAST MEMORIAL HOSPITAL,50 UNION STREET,50 UNION STREET,ELLSWORTH,ELLSWORTH,ME,ME
195323,1.0766068117299965,HEYWOOD HOSPITAL -,HEYWOOD HOSPITAL,242 GREEN STREET,242 GREEN STREET,GARDNER,GARDNER,MA,MA
87663,1.0774429275560664,CANDLER HOSPITAL,CANDLER HOSPITAL,5353 REYNOLDS STREET,5353 REYNOLDS STREET,SAVANNAH,SAVANNAH,GA,GA
463486,1.077605585842578,MARLBOROUGH HOSPITAL,MARLBOROUGH HOSPITAL,157 UNION STREET,157 UNION STREET,MARLBOROUGH,MARLBOROUGH,MA,MA
62409,1.077711988122086,ENGLEWOOD COMMUNITY HOSPITAL,ENGLEWOOD COMMUNITY HOSPITAL,700 MEDICAL BLVD,700 MEDICAL BLVD,ENGLEWOOD,ENGLEWOOD,FL,FL
482936,1.0777391905544873,SWEDISH MEDICAL CENTER,SWEDISH MEDICAL CENTER,747 BROADWAY,747 BROADWAY,SEATTLE,SEATTLE,WA,WA
223131,1.0777648768425612,ROPER HOSPITAL,ROPER HOSPITAL,316 CALHOUN ST,316 CALHOUN ST,CHARLESTON,CHARLESTON,SC,SC
566623,1.0788807858953342,MULTICARE DEACONESS HOSPITAL,DEACONESS HOSPITAL,W 800 FIFTH AVENUE,W 800 FIFTH AVENUE,SPOKANE,SPOKANE,WA,WA
523697,1.079011077916954,ASCENSION BORGESS HOSPITAL,BORGESS MEDICAL CENTER,1521 GULL ROAD,1521 GULL ROAD,KALAMAZOO,KALAMAZOO,MI,MI
336073,1.0796402393498483,DOCTORS HOSPITAL,DOCTORS HOSPITAL,5100 WEST  BROAD STREET,5100 WEST  BROAD STREET,COLUMBUS,COLUMBUS,OH,OH
464835,1.0797747822135448,WEST TENNESSEE HEALTHCARE VOLUNTEER HOSPITAL,TENNOVA HEALTHCARE-VOLUNTEER MARTIN,161 MOUNT PELIA RD,161 MOUNT PELIA RD,MARTIN,MARTIN,TN,TN
29084,1.0810695838943558,MOUNT SINAI SOUTH NASSAU,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,ONE HEALTHY WAY,OCEANSIDE,OCEANSIDE,NY,NY
388622,1.0811586811068603,ASCENSION ST CLARES HOSPITAL,ST CLARES HOSPITAL OF WESTON,3400 MINISTRY PARKWAY,3400 MINISTRY PARKWAY,WESTON,WESTON,WI,WI
169348,1.08125463519972,NYU LANGONE HOSPITALS,NYU HOSPITALS CENTER,550 FIRST AVENUE,550 FIRST AVENUE,NEW YORK,NEW YORK,NY,NY
185431,1.0818307408178818,MERCYONE CLINTON MEDICAL CENTER,MERCY MEDICAL CENTER-CLINTON,1410 NORTH 4TH STREET,1410 NORTH 4TH STREET,CLINTON,CLINTON,IA,IA
102635,1.0827662921751526,"PINEVILLE COMMUNITY HEALTH CENTER, INC",PINEVILLE COMMUNITY HOSPITAL,850 RIVERVIEW AVENUE,850 RIVERVIEW AVENUE,PINEVILLE,PINEVILLE,KY,KY
198106,1.0832554737910736,ISLAND HOSPITAL,ISLAND HOSPITAL,1211  24TH STREET,1211  24TH STREET,ANACORTES,ANACORTES,WA,WA
243653,1.0835884760335694,BERKELEY MEDICAL CENTER,BERKELEY MEDICAL CENTER,2500 HOSPITAL DRIVE,2500 HOSPITAL DRIVE,MARTINSBURG,MARTINSBURG,WV,WV
188577,1.0837056041214956,UPMC HAMOT,UPMC HAMOT,201 STATE STREET,201 STATE STREET,ERIE,ERIE,PA,PA
324120,1.0839645092465087,BRIDGEPORT HOSPITAL,BRIDGEPORT HOSPITAL,267 GRANT STREET,267 GRANT STREET,BRIDGEPORT,BRIDGEPORT,CT,CT
205042,1.0841545954196874,ALAMEDA HOSPITAL,ALAMEDA HOSPITAL,2070 CLINTON AVENUE,2070 CLINTON AVENUE,ALAMEDA,ALAMEDA,CA,CA
317934,1.0864085466305737,POMERADO HOSPITAL,POMERADO HOSPITAL,15615 POMERADO ROAD,15615 POMERADO ROAD,POWAY,POWAY,CA,CA
193756,1.0872148225399774,ST FRANCIS HOSPITAL,ST FRANCIS HOSPITAL,333 LAIDLEY ST,333 LAIDLEY ST,CHARLESTON,CHARLESTON,WV,WV
291901,1.0875964156400417,UNIVERSITY OF MD LAUREL REGIONAL HOSPITAL,LAUREL REGIONAL MEDICAL CENTER,7300 VAN DUSEN ROAD,7300 VAN DUSEN ROAD,LAUREL,LAUREL,MD,MD
569072,1.0879143166278327,HILL REGIONAL HOSPITAL,HILL REGIONAL HOSPITAL,101 CIRCLE DRIVE,101 CIRCLE DRIVE,HILLSBORO,HILLSBORO,TX,TX
204203,1.088469417396076,PERRY HOSPITAL,PERRY HOSPITAL,1120 MORNINGSIDE DR,1120 MORNINGSIDE DR,PERRY,PERRY,GA,GA
47283,1.0896526597962384,AVOYELLES HOSPITAL,AVOYELLES HOSPITAL,4231 HIGHWAY 1192,4231 HIGHWAY 1192,MARKSVILLE,MARKSVILLE,LA,LA
560656,1.0900049415994342,MEDICAL CITY FORT WORTH,PLAZA MEDICAL CENTER OF FORT WORTH,900 EIGHTH AVENUE,900 EIGHTH AVENUE,FORT WORTH,FORT WORTH,TX,TX
442658,1.0900716358504432,WAYNE MEMORIAL HOSPITAL,WAYNE MEMORIAL HOSPITAL,601 PARK STREET,601 PARK STREET,HONESDALE,HONESDALE,PA,PA
202693,1.0913445973091778,ASTRIA TOPPENISH HOSPITAL,TOPPENISH COMMUNITY HOSPITAL,502 W FOURTH AVE,502 W FOURTH AVE,TOPPENISH,TOPPENISH,WA,WA
417875,1.0939297442286084,COMMUNITY HOSPITAL INC,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,805 FRIENDSHIP ROAD,TALLASSEE,TALLASSEE,AL,AL
460194,1.0945387064118202,STURDY MEMORIAL HOSPITAL,STURDY MEMORIAL HOSPITAL,211 PARK STREET,211 PARK STREET,ATTLEBORO,ATTLEBORO,MA,MA
140039,1.0945536124111,MEMORIAL HOSPITAL,MEMORIAL HOSPITAL,715 SOUTH TAFT AVENUE,715 SOUTH TAFT AVENUE,FREMONT,FREMONT,OH,OH
31342,1.0946058040369704,NEWTON MEDICAL CENTER,NEWTON MEDICAL CENTER,175 HIGH ST,175 HIGH ST,NEWTON,NEWTON,NJ,NJ
531632,1.0957628157654216,ST PATRICK HOSPITAL,ST PATRICK HOSPITAL,500 W BROADWAY,500 W BROADWAY,MISSOULA,MISSOULA,MT,MT
541580,1.0970871577494676,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,LOMA LINDA UNIVERSITY MEDICAL CENTER,11234 ANDERSON STREET SUITE A,11234 ANDERSON ST,LOMA LINDA,LOMA LINDA,CA,CA
246494,1.0972652614036749,METHODIST HOSPITAL,METHODIST HOSPITAL,8303 DODGE ST,8303 DODGE ST,OMAHA,OMAHA,NE,NE
568131,1.0979977040690416,ELMHURST HOSPITAL CENTER,ELMHURST HOSPITAL CENTER,79-01 BROADWAY,79-01 BROADWAY,ELMHURST,ELMHURST,NY,NY
136522,1.0987285473569668,VIDANT MEDICAL CENTER,VIDANT MEDICAL CENTER,2100 STANTONSBURG RD,2100 STANTONSBURG RD,GREENVILLE,GREENVILLE,NC,NC
78213,1.0991394857389836,BAYLOR SCOTT & WHITE  CLINIC - TEMPLE,SCOTT & WHITE MEDICAL CENTER - TEMPLE,2401 S  31ST ST,2401 S  31ST ST,TEMPLE,TEMPLE,TX,TX
227900,1.0992178539774247,BRANDYWINE HOSPITAL,BRANDYWINE HOSPITAL,201 REECEVILLE ROAD,201 REECEVILLE ROAD,COATESVILLE,COATESVILLE,PA,PA
158445,1.1009932223943508,DELTA COUNTY MEMORIAL HOSPITAL,DELTA COUNTY MEMORIAL HOSPITAL,1501 E 3RD ST,1501 E 3RD STREET,DELTA,DELTA,CO,CO
275458,1.101533135543779,TUFTS MEDICAL CENTER,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,800 WASHINGTON STREET,BOSTON,BOSTON,MA,MA
6768,1.104381252643616,PHOENIXVILLE HOSPITAL,PHOENIXVILLE HOSPITAL,140 NUTT ROAD,140 NUTT ROAD,PHOENIXVILLE,PHOENIXVILLE,PA,PA
287319,1.1044827222391318,GOOD SAMARITAN HOSPITAL,GOOD SAMARITAN HOSPITAL,901 OLIVE DRIVE,901 OLIVE DRIVE,BAKERSFIELD,BAKERSFIELD,CA,CA
399724,1.1056988573587303,MERCY HOSPITAL,MERCY HOSPITAL,500 E MARKET STREET,500 E MARKET STREET,IOWA CITY,IOWA CITY,IA,IA
43404,1.1067817088642826,BAPTIST MEDICAL CENTER,BAPTIST MEDICAL CENTER,111 DALLAS STREET,111 DALLAS STREET,SAN ANTONIO,SAN ANTONIO,TX,TX
233994,1.1071975238696379,ST MARY'S REGIONAL MEDICAL CENTER,ST MARYS REGIONAL MEDICAL CENTER,93 CAMPUS AVENUE - PO BOX 291,93 CAMPUS AVENUE - PO BOX 7291,LEWISTON,LEWISTON,ME,ME
25195,1.107329087284509,MAINE MEDICAL CENTER,MAINE MEDICAL CENTER,22 BRAMHALL ST,22 BRAMHALL ST,PORTLAND,PORTLAND,ME,ME
356316,1.1097186122071772,ELBERT MEMORIAL HOSPITAL,ELBERT MEMORIAL HOSPITAL,4 MEDICAL DRIVE,4 MEDICAL DRIVE,ELBERTON,ELBERTON,GA,GA
282061,1.109857499899295,PRESBYTERIAN HOSPITAL,PRESBYTERIAN HOSPITAL,1100 CENTRAL AVENUE SE,1100 CENTRAL AVENUE SE,ALBUQUERQUE,ALBUQUERQUE,NM,NM
18888,1.1132919478283303,GETTYSBURG HOSPITAL,GETTYSBURG HOSPITAL,147 GETTYS STREET,147 GETTYS STREET,GETTYSBURG,GETTYSBURG,PA,PA
365049,1.1137469798317314,HIALEAH HOSPITAL,HIALEAH HOSPITAL,651 E 25TH ST,651 E 25TH ST,HIALEAH,HIALEAH,FL,FL
85608,1.1148037826661825,ROXBOROUGH MEMORIAL HOSPITAL,ROXBOROUGH MEMORIAL HOSPITAL,5800 RIDGE AVE,5800 RIDGE AVE,PHILADELPHIA,PHILADELPHIA,PA,PA
163096,1.1166471454867692,FORBES HOSPITAL,FORBES HOSPITAL,2570 HAYMAKER ROAD,2570 HAYMAKER ROAD,MONROEVILLE,MONROEVILLE,PA,PA
185568,1.1171913085375904,MERCY MEDICAL CENTER,MERCY MEDICAL CENTER,1320 MERCY DRIVE NW,1320 MERCY DRIVE NW,CANTON,CANTON,OH,OH
97863,1.1173990819541857,PALMERTON HOSPITAL,PALMERTON HOSPITAL,135 LAFAYETTE AVENUE,135 LAFAYETTE AVENUE,PALMERTON,PALMERTON,PA,PA
94139,1.1178242158517209,HOUSTON METHODIST HOSPITAL,HOUSTON METHODIST HOSPITAL,6565 FANNIN,6565 FANNIN,HOUSTON,HOUSTON,TX,TX
509038,1.1182311733440566,STANFORD HEALTH CARE - VALLEYCARE,VALLEYCARE MEDICAL CENTER,5555 WEST LAS POSITAS BOULEVARD,5555 WEST LAS POSITAS BOULEVARD,PLEASANTON,PLEASANTON,CA,CA
342246,1.1190527420416727,GREENWOOD LEFLORE HOSPITAL,GREENWOOD LEFLORE HOSPITAL,1401 RIVER RD,1401 RIVER RD / PO BOX 1410,GREENWOOD,GREENWOOD,MS,MS
20591,1.1191204256507925,VALLEY MEDICAL CENTER,VALLEY MEDICAL CENTER,400 S 43RD ST,400 S 43RD ST,RENTON,RENTON,WA,WA
316050,1.1201147242019611,MCKEE MEDICAL CENTER,MCKEE MEDICAL CENTER,2000 BOISE AVE,2000 BOISE AVE,LOVELAND,LOVELAND,CO,CO
141161,1.1210684153271115,MERCY HEALTH - SPRINGFIELD REGIONAL MEDICAL CENTER,SPRINGFIELD REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,100 MEDICAL CENTER DRIVE,SPRINGFIELD,SPRINGFIELD,OH,OH
411322,1.1212474405251613,DEACONESS HOSPITAL INC,DEACONESS HOSPITAL INC,600 MARY ST,600 MARY ST,EVANSVILLE,EVANSVILLE,IN,IN
156216,1.121843736154611,STEPHENS COUNTY HOSPITAL,STEPHENS COUNTY HOSPITAL,163 HOSPITAL DRIVE,163 HOSPITAL DRIVE,TOCCOA,TOCCOA,GA,GA
349228,1.1220778558286204,HUNTINGTON MEMORIAL HOSPITAL,HUNTINGTON MEMORIAL HOSPITAL,100 W  CALIFORNIA BLVD,100 W  CALIFORNIA BLVD,PASADENA,PASADENA,CA,CA
143060,1.1223611689705861,COLUMBIA MEMORIAL HOSPITAL,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,71 PROSPECT AVENUE,HUDSON,HUDSON,NY,NY
383080,1.1230464083931946,HARTFORD HOSPITAL,HARTFORD HOSPITAL,80 SEYMOUR STREET,80 SEYMOUR STREET,HARTFORD,HARTFORD,CT,CT
457853,1.1232100885799956,PLATTE VALLEY MEDICAL CENTER,PLATTE VALLEY MEDICAL CENTER,1600 PRAIRIE CENTER PKWY,1600 PRAIRIE CENTER PARKWAY,BRIGHTON,BRIGHTON,CO,CO
401280,1.1240735464956446,SWEDISH MEDICAL CENTER,SWEDISH MEDICAL CENTER,501 E HAMPDEN AVE,501 E HAMPDEN AVENUE,ENGLEWOOD,ENGLEWOOD,CO,CO
32523,1.124819048170791,ADVENTIST HEALTH ST HELENA,ST HELENA HOSPITAL,10 WOODLAND ROAD,10 WOODLAND ROAD,SAINT HELENA,SAINT HELENA,CA,CA
182898,1.124987479337215,HARRIS REGIONAL HOSPITAL,HARRIS REGIONAL HOSPITAL,68 HOSPITAL RD,68 HOSPITAL RD,SYLVA,SYLVA,NC,NC
519643,1.1256855717034395,INDIANA REGIONAL MEDICAL CENTER,INDIANA REGIONAL MEDICAL CENTER,835 HOSPITAL ROAD,835 HOSPITAL ROAD,INDIANA,INDIANA,PA,PA
439240,1.1260918057241196,HCA HOUSTON HEALTHCARE NORTHWEST,HOUSTON NORTHWEST MEDICAL CENTER,710 CYPRESS CREEK PARKWAY,710 CYPRESS CREEK PARKWAY,HOUSTON,HOUSTON,TX,TX
521594,1.1267815867560373,ARIA HEALTH,ARIA HEALTH,10800 KNIGHTS ROAD,10800 KNIGHTS ROAD,PHILADELPHIA,PHILADELPHIA,PA,PA
541689,1.1281238999781695,KISHWAUKEE COMMUNITY HOSPITAL,KISHWAUKEE COMMUNITY HOSPITAL,1 KISH HOSPITAL DRIVE,ONE KISH HOSPITAL DRIVE,DEKALB,DEKALB,IL,IL
323687,1.130239126374829,METHODIST HOSPITAL,METHODIST HOSPITAL,1305 N ELM ST,1305 N ELM ST,HENDERSON,HENDERSON,KY,KY
536151,1.1307971744825651,ASCENSION GENESYS HOSPITAL,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,ONE GENESYS PARKWAY,GRAND BLANC,GRAND BLANC,MI,MI
371894,1.131724943493608,EDWARD HOSPITAL,EDWARD HOSPITAL,801 SOUTH WASHINGTON,801 SOUTH WASHINGTON,NAPERVILLE,NAPERVILLE,IL,IL
70340,1.1317692325848205,CLEVELAND CLINIC,CLEVELAND CLINIC,9500 EUCLID AVENUE,9500 EUCLID AVENUE,CLEVELAND,CLEVELAND,OH,OH
21823,1.132916845468406,PRISMA HEALTH GREER MEMORIAL HOSPITAL,GHS GREER MEMORIAL HOSPITAL,830 SOUTH BUNCOMBE ROAD,830 SOUTH BUNCOMBE ROAD,GREER,GREER,SC,SC
474155,1.1345248237025711,ST JOSEPH HOSPITAL,ST JOSEPH HOSPITAL,2700 DOLBEER ST,2700 DOLBEER ST,EUREKA,EUREKA,CA,CA
401581,1.1347554220217226,UNIVERSITY HOSPITAL,UNIVERSITY HOSPITAL,150 BERGEN ST,150 BERGEN ST,NEWARK,NEWARK,NJ,NJ
426149,1.1350565425491903,UNITED MEMORIAL MEDICAL CENTER,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,127 NORTH STREET,BATAVIA,BATAVIA,NY,NY
569069,1.1352453627744248,BERWICK HOSPITAL CENTER,BERWICK HOSPITAL CENTER,701 EAST 16TH STREET,701 EAST 16TH STREET,BERWICK,BERWICK,PA,PA
539137,1.1362437288142258,HERRIN HOSPITAL,HERRIN HOSPITAL,201 S 14TH ST,201 S 14TH ST,HERRIN,HERRIN,IL,IL
324525,1.1362578533483851,FAIRVIEW HOSPITAL,FAIRVIEW HOSPITAL,18101 LORAIN AVENUE,18101 LORAIN AVENUE,CLEVELAND,CLEVELAND,OH,OH
101759,1.1368320756649266,OROVILLE HOSPITAL,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,2767 OLIVE HIGHWAY,OROVILLE,OROVILLE,CA,CA
41313,1.1371654888721117,GUTHRIE CORTLAND REGIONAL MEDICAL CENTER,"CORTLAND REGIONAL MEDICAL CENTER, INC",134 HOMER AVENUE,134 HOMER AVENUE,CORTLAND,CORTLAND,NY,NY
70847,1.13742543660132,COLUMBUS COMMUNITY HOSPITAL,COLUMBUS COMMUNITY HOSPITAL,4600 38TH ST,4600 38TH ST,COLUMBUS,COLUMBUS,NE,NE
113468,1.1375360484609383,METROWEST MEDICAL CENTER,METROWEST MEDICAL CENTER,115 LINCOLN STREET,115 LINCOLN STREET,FRAMINGHAM,FRAMINGHAM,MA,MA
179387,1.1375960713166557,UPMC SUSQUEHANNA SOLDIERS & SAILORS,SOLDIERS AND SAILORS MEMORIAL HOSPITAL,32-36 CENTRAL AVENUE,32-36 CENTRAL AVENUE,WELLSBORO,WELLSBORO,PA,PA
438875,1.1397833466509977,LAWRENCE MEMORIAL HOSPITAL,LAWRENCE MEMORIAL HOSPITAL,325 MAINE STREET,325 MAINE STREET,LAWRENCE,LAWRENCE,KS,KS
493770,1.139932175383833,GENESIS HOSPITAL,GENESIS HOSPITAL,2951 MAPLE AVENUE,2951 MAPLE AVENUE,ZANESVILLE,ZANESVILLE,OH,OH
513562,1.1403657698415153,ANDERSON HOSPITAL,ANDERSON HOSPITAL,6800 STATE ROUTE 162,6800 STATE ROUTE 162,MARYVILLE,MARYVILLE,IL,IL
239151,1.1408984268286901,ST JOSEPH HOSPITAL,ST JOSEPH MEDICAL CENTER,2901 SQUALICUM PARKWAY,2901 SQUALICUM PARKWAY,BELLINGHAM,BELLINGHAM,WA,WA
124532,1.1416478796093226,SALEM HOSPITAL,SALEM HOSPITAL,"890 OAK STREET, SE","890 OAK STREET, SE",SALEM,SALEM,OR,OR
64474,1.142853125977391,UNITED HOSPITAL CENTER,UNITED HOSPITAL CENTER,327 MEDICAL PARK DRIVE,327 MEDICAL PARK DRIVE,BRIDGEPORT,BRIDGEPORT,WV,WV
313647,1.1429093226599178,PIEDMONT HOSPITAL,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,1968 PEACHTREE RD NW,ATLANTA,ATLANTA,GA,GA
416568,1.1435574603670344,MIDDLESEX HOSPITAL,MIDDLESEX HOSPITAL,28 CRESCENT ST,28 CRESCENT ST,MIDDLETOWN,MIDDLETOWN,CT,CT
191931,1.1445442538823536,NEWTON MEDICAL CENTER,NEWTON MEDICAL CENTER,600 MEDICAL CENTER DRIVE,600 MEDICAL CENTER DRIVE,NEWTON,NEWTON,KS,KS
220576,1.1446547158988487,"SCENIC MOUNTAIN MEDICAL CENTER, A STEWARD FAMILY H",SCENIC MOUNTAIN MEDICAL CENTER,1601 W 11TH PLACE,1601 W 11TH PLACE,BIG SPRING,BIG SPRING,TX,TX
180187,1.1449023719820726,ADVENTHEALTH FISH MEMORIAL,FLORIDA HOSPITAL FISH MEMORIAL,1055 SAXON BLVD,1055 SAXON BLVD,ORANGE CITY,ORANGE CITY,FL,FL
459286,1.145157985031968,BAPTIST MEMORIAL HOSPITAL GOLDEN TRIANGLE INC,BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC,2520 5TH STREET N,2520 5TH ST N,COLUMBUS,COLUMBUS,MS,MS
381832,1.1454825041448031,BEDFORD MEMORIAL HOSPITAL,BEDFORD MEMORIAL HOSPITAL,1613 OAKWOOD STREET,1613 OAKWOOD STREET,BEDFORD,BEDFORD,VA,VA
147806,1.145923544978778,MOUNT PLEASANT HOSPITAL,MOUNT PLEASANT HOSPITAL,3510 HIGHWAY 17 NORTH SUITE 140,3500 HIGHWAY 17 NORTH,MOUNT PLEASANT,MOUNT PLEASANT,SC,SC
256769,1.1460432906501246,MEDINA HOSPITAL,MEDINA HOSPITAL,1000 EAST WASHINGTON STREET,1000 EAST WASHINGTON STREET,MEDINA,MEDINA,OH,OH
341398,1.147106403609103,UNION GENERAL HOSPITAL,UNION GENERAL HOSPITAL,35 HOSPITAL ROAD,35 HOSPITAL ROAD,BLAIRSVILLE,BLAIRSVILLE,GA,GA
393719,1.147392604185978,HIGHLANDS HOSPITAL,HIGHLANDS HOSPITAL,401 EAST MURPHY AVENUE,401 EAST MURPHY AVENUE,CONNELLSVILLE,CONNELLSVILLE,PA,PA
165360,1.1474035343133806,COLISEUM MEDICAL CENTERS,COLISEUM MEDICAL CENTERS,350 HOSPITAL DRIVE,350 HOSPITAL DRIVE,MACON,MACON,GA,GA
40653,1.1477514252688725,MEDICAL CITY DALLAS,MEDICAL CITY DALLAS HOSPITAL,7777 FOREST LANE,7777 FOREST LANE,DALLAS,DALLAS,TX,TX
72503,1.1481197095871507,BROOKS MEMORIAL HOSPITAL,BROOKS MEMORIAL HOSPITAL,529 CENTRAL AVENUE,529 CENTRAL AVENUE,DUNKIRK,DUNKIRK,NY,NY
495042,1.148420201175168,LAREDO MEDICAL CENTER,LAREDO MEDICAL CENTER,1700 EAST SAUNDERS,1700 EAST SAUNDERS,LAREDO,LAREDO,TX,TX
563115,1.1497524698854353,PARKLAND MEDICAL CENTER,PARKLAND MEDICAL CENTER,1 PARKLAND DRIVE,1 PARKLAND DRIVE,DERRY,DERRY,NH,NH
151378,1.1501898741487477,SSM HEALTH ST ANTHONY HOSPITAL - OKLAHOMA CITY,ST ANTHONY HOSPITAL,1000 NORTH LEE AVENUE,1000 NORTH LEE AVENUE,OKLAHOMA CITY,OKLAHOMA CITY,OK,OK
445467,1.1504012933178458,ADVENTHEALTH CARROLLWOOD,FLORIDA HOSPITAL CARROLLWOOD,7171 N DALE MABRY HWY,7171 N DALE MABRY HWY,TAMPA,TAMPA,FL,FL
22116,1.1505924816864024,ASCENSION RIVER DISTRICT HOSPITAL,ST JOHN RIVER DISTRICT HOSPITAL,4100 RIVER RD,4100 RIVER RD,EAST CHINA,EAST CHINA,MI,MI
173965,1.1506213216990002,ELLIS HOSPITAL,ELLIS HOSPITAL,1101 NOTT STREET,1101 NOTT STREET,SCHENECTADY,SCHENECTADY,NY,NY
396089,1.1518628572992458,MEMORIAL REGIONAL HOSPITAL,MEMORIAL REGIONAL HOSPITAL,3501 JOHNSON ST,3501 JOHNSON ST,HOLLYWOOD,HOLLYWOOD,FL,FL
334783,1.1519330021046952,ST ROSE HOSPITAL,ST ROSE HOSPITAL,27200 CALAROGA AVE,27200 CALAROGA AVE,HAYWARD,HAYWARD,CA,CA
203933,1.151959413919345,MCLAREN MACOMB,MCLAREN MACOMB,1000 HARRINGTON ST,1000 HARRINGTON BLVD,MOUNT CLEMENS,MOUNT CLEMENS,MI,MI
379877,1.152171398048014,MORRISTOWN MEDICAL CENTER,MORRISTOWN MEDICAL CENTER,100 MADISON AVE,100 MADISON AVE,MORRISTOWN,MORRISTOWN,NJ,NJ
290280,1.1538206599811467,COLUMBUS COMMUNITY HOSPITAL,COLUMBUS COMMUNITY HOSPITAL,110 SHULT DR,110 SHULT DR,COLUMBUS,COLUMBUS,TX,TX
419381,1.1551508830884143,NORTH MEMORIAL HEALTH,NORTH MEMORIAL MEDICAL CENTER,3300 OAKDALE NORTH,3300 OAKDALE NORTH,ROBBINSDALE,ROBBINSDALE,MN,MN
27208,1.1551593926387738,PARKRIDGE MEDICAL CENTER,PARKRIDGE MEDICAL CENTER,2333 MCCALLIE AVE,2333 MCCALLIE AVE,CHATTANOOGA,CHATTANOOGA,TN,TN
80474,1.1551959978083253,ALTON MEMORIAL HOSPITAL,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ONE MEMORIAL DRIVE,ALTON,ALTON,IL,IL
548831,1.1556683392067792,MONROE COUNTY HOSPITAL,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,"2016 SOUTH ALABAMA AVENUE, BOX 886",MONROEVILLE,MONROEVILLE,AL,AL
502592,1.1557001027371239,TAYLOR REGIONAL HOSPITAL,TAYLOR REGIONAL HOSPITAL,222 PERRY HWY,222 PERRY HWY,HAWKINSVILLE,HAWKINSVILLE,GA,GA
231419,1.1559401028043592,ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER,ORLANDO HEALTH,52 W UNDERWOOD ST,52 W UNDERWOOD ST,ORLANDO,ORLANDO,FL,FL
16135,1.157089867703068,ACMH HOSPITAL,ACMH HOSPITAL,ONE NOLTE DRIVE,ONE NOLTE DRIVE,KITTANNING,KITTANNING,PA,PA
216676,1.157264917679588,CHESHIRE MEDICAL CENTER,CHESHIRE MEDICAL CENTER,580 COURT STREET,580 COURT STREET,KEENE,KEENE,NH,NH
168138,1.1573882360002723,EMANUEL MEDICAL CENTER,EMANUEL MEDICAL CENTER,825 DELBON AVE,825 DELBON AVE,TURLOCK,TURLOCK,CA,CA
482935,1.1602227232890816,STAMFORD HOSPITAL,STAMFORD HOSPITAL,ONE HOSPITAL PLAZA,ONE HOSPITAL PLAZA,STAMFORD,STAMFORD,CT,CT
248406,1.1603049937702727,MUSC MEDICAL CENTER,MUSC MEDICAL CENTER,169 ASHLEY AVE,169 ASHLEY AVE,CHARLESTON,CHARLESTON,SC,SC
53631,1.1614897950827223,UNIVERSITY HOSPITAL,UNIVERSITY HOSPITAL,1350 WALTON WAY,1350 WALTON WAY,AUGUSTA,AUGUSTA,GA,GA
513351,1.161960002057897,WAKEMED,"WAKEMED, RALEIGH CAMPUS",3000 NEW BERN AVE,3000 NEW BERN AVE,RALEIGH,RALEIGH,NC,NC
319255,1.1620500067102824,PARKLAND HEALTH CENTER,PARKLAND HEALTH CENTER,1101 W LIBERTY,1101 W LIBERTY,FARMINGTON,FARMINGTON,MO,MO
546391,1.1626072791882196,MERCY HEALTH - FAIRFIELD HOSPITAL,MERCY HOSPITAL FAIRFIELD,3000 MACK ROAD,3000 MACK ROAD,FAIRFIELD,FAIRFIELD,OH,OH
219226,1.1626316959267828,NORTH COLORADO MEDICAL CENTER,NORTH COLORADO MEDICAL CENTER,1801 - 16TH ST,1801 16TH STREET,GREELEY,GREELEY,CO,CO
309413,1.16302876296592,SAMARITAN MEDICAL CENTER,SAMARITAN MEDICAL CENTER,830 WASHINGTON STREET,830 WASHINGTON STREET,WATERTOWN,WATERTOWN,NY,NY
191873,1.1636581458575082,BEVERLY HOSPITAL,BEVERLY HOSPITAL,309 W BEVERLY BLVD,309 W BEVERLY BLVD,MONTEBELLO,MONTEBELLO,CA,CA
551648,1.1637245584563745,ADVENTHEALTH WATERMAN,FLORIDA HOSPITAL WATERMAN,1000 WATERMAN WAY,1000 WATERMAN WAY,TAVARES,TAVARES,FL,FL
535505,1.1637950330682805,MCPHERSON HOSPITAL INC,MCPHERSON HOSPITAL INC,1000 HOSPITAL DRIVE,1000 HOSPITAL DRIVE,MCPHERSON,MCPHERSON,KS,KS
229704,1.1646068607015998,MENIFEE GLOBAL MEDICAL CENTER,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL B0ULEVARD,28400 MCCALL B0ULEVARD,SUN CITY,SUN CITY,CA,CA
